CustomerID,Age,Gender,Location,Annual_Income,Purchase_Frequency,Avg_Order_Value,Total_Annual_Spend,Top_Category,Preferred_Channel,Days_Since_Last_Purchase,Returns_Count,Satisfaction_Score,Loyalty_Score
CUST00001,43,Female,New York,45431,14,56.6,792.4,Sports,Online,1,3,3.5,5.2
CUST00002,31,Male,Los Angeles,36722,8,10.71,85.68,Automotive,Online,15,1,4.2,3.8
CUST00003,27,Male,New York,22544,11,69.91,769.01,Clothing,Online,29,0,3.3,4.5
CUST00004,24,Female,New York,60272,10,43.76,437.6,Automotive,Online,4,1,4.7,4.3
CUST00005,35,Female,Dallas,60726,14,466.3,6528.2,Books,Online,5,6,3.7,7.6
CUST00006,25,Female,New York,20520,10,30.22,302.2,Groceries,In-Store,59,0,4.1,3.9
CUST00007,44,Male,Chicago,79878,14,57.68,807.52,Home & Garden,Mobile App,3,2,3.4,5.2
CUST00008,35,Male,Los Angeles,39116,10,119.62,1196.2,Books,Online,23,0,4.1,4.5
CUST00009,49,Female,San Jose,75930,13,706.7,9187.1,Sports,Mobile App,15,0,3.5,8.5
CUST00010,20,Female,Dallas,86974,12,45.87,550.44,Clothing,Mobile App,42,0,3.3,4.5
CUST00011,35,Male,Dallas,38763,12,53.7,644.4,Sports,Mobile App,3,0,4.3,4.8
CUST00012,53,Female,Philadelphia,41748,16,10.4,166.4,Health,Online,5,0,4.2,5.3
CUST00013,43,Male,Houston,44741,10,34.46,344.6,Sports,Mobile App,130,1,4.5,3.5
CUST00014,18,Female,Los Angeles,48311,10,69.56,695.6,Books,Online,1,0,5.0,4.5
CUST00015,35,Female,Philadelphia,57864,8,148.41,1187.28,Groceries,Online,12,1,4.1,4.2
CUST00016,54,Male,Phoenix,105427,12,47.21,566.52,Clothing,In-Store,6,0,4.5,4.7
CUST00017,58,Male,Houston,79258,9,97.07,873.63,Groceries,Online,19,1,3.3,4.2
CUST00018,28,Male,Dallas,41063,9,78.2,703.8,Home & Garden,In-Store,30,0,4.7,4.1
CUST00019,41,Female,New York,75357,10,96.1,961.0,Home & Garden,Mobile App,79,2,3.7,4.1
CUST00020,41,Female,San Antonio,33093,12,28.96,347.52,Sports,Online,37,1,4.2,4.4
CUST00021,47,Female,San Jose,98480,16,36.33,581.28,Beauty,Online,10,1,3.9,5.4
CUST00022,37,Female,San Diego,59138,17,67.3,1144.1,Groceries,Online,18,1,4.6,5.8
CUST00023,26,Male,Dallas,83905,11,61.14,672.54,Automotive,Online,112,2,4.0,3.9
CUST00024,50,Female,San Jose,40612,10,109.63,1096.3,Books,Online,43,1,3.8,4.4
CUST00025,38,Non-binary,Chicago,26143,14,25.42,355.88,Automotive,Online,43,4,3.0,4.8
CUST00026,44,Female,Los Angeles,91542,14,53.48,748.72,Groceries,In-Store,12,0,4.4,5.1
CUST00027,32,Female,San Antonio,51278,12,107.81,1293.72,Health,Online,1,0,3.2,5.1
CUST00028,32,Male,San Diego,89225,7,40.42,282.94,Automotive,Online,50,0,4.3,3.4
CUST00029,38,Female,New York,34256,12,16.16,193.92,Clothing,In-Store,48,1,3.9,4.3
CUST00030,28,Female,Phoenix,122236,8,83.3,666.4,Beauty,Online,57,1,2.9,3.7
CUST00031,63,Male,San Diego,86496,11,161.88,1780.68,Electronics,Mobile App,1,0,3.6,5.1
CUST00032,43,Female,Phoenix,75060,12,10,120,Automotive,In-Store,5,1,3.3,4.5
CUST00033,56,Female,Los Angeles,101498,4,69.47,277.88,Sports,Mobile App,177,1,4.7,2.1
CUST00034,40,Female,Houston,35238,19,202.39,3845.41,Groceries,Online,11,5,2.9,7.3
CUST00035,32,Male,Dallas,54950,10,43.14,431.4,Electronics,In-Store,43,4,3.0,4.1
CUST00036,44,Female,Los Angeles,33170,11,41.74,459.14,Beauty,Mobile App,88,3,4.0,4.0
CUST00037,53,Female,Phoenix,49590,10,83.67,836.7,Home & Garden,Online,109,2,3.5,3.8
CUST00038,25,Female,Los Angeles,25139,14,103.22,1445.08,Clothing,In-Store,2,1,4.2,5.5
CUST00039,18,Female,Dallas,129798,17,102.48,1742.16,Groceries,Online,2,0,4.7,6.1
CUST00040,32,Male,Dallas,54836,6,149.61,897.66,Groceries,Online,178,2,3.1,2.7
CUST00041,18,Female,San Antonio,116252,17,53.97,917.49,Home & Garden,Mobile App,13,0,4.0,5.7
CUST00042,53,Female,Houston,74904,11,52.44,576.84,Sports,Online,109,0,4.2,3.9
CUST00043,38,Female,Philadelphia,84198,12,49.29,591.48,Toys,Mobile App,30,2,4.6,4.6
CUST00044,36,Male,Houston,83865,13,59.72,776.36,Home & Garden,Online,12,1,3.2,5.0
CUST00045,42,Male,Dallas,137570,10,35.56,355.6,Home & Garden,In-Store,88,4,3.4,3.8
CUST00046,52,Male,New York,37871,13,61.55,800.15,Home & Garden,Online,15,1,4.5,4.9
CUST00047,41,Male,Philadelphia,57889,13,53.56,696.28,Clothing,In-Store,3,2,2.9,5.0
CUST00048,50,Male,San Diego,114434,10,79.01,790.1,Home & Garden,In-Store,54,2,4.6,4.2
CUST00049,50,Female,San Jose,53709,11,189.11,2080.21,Health,Online,7,0,4.4,5.2
CUST00050,18,Female,San Antonio,108487,11,76.71,843.81,Home & Garden,Online,50,1,2.7,4.4
CUST00051,18,Female,Philadelphia,47545,12,26.76,321.12,Books,Online,2,0,4.3,4.6
CUST00052,42,Female,New York,29233,8,63.82,510.56,Clothing,Online,50,0,4.5,3.7
CUST00053,31,Female,Los Angeles,31695,8,61.87,494.96,Home & Garden,Online,10,0,3.5,4.0
CUST00054,61,Female,Chicago,49980,13,61.64,801.32,Books,Online,46,1,3.7,4.7
CUST00055,31,Male,Los Angeles,24948,12,43.01,516.12,Toys,Mobile App,41,0,2.9,4.5
CUST00056,48,Female,Los Angeles,28470,17,33.76,573.92,Electronics,In-Store,12,1,3.9,5.6
CUST00057,28,Female,New York,22421,9,217.24,1955.16,Clothing,Mobile App,63,1,4.2,4.4
CUST00058,66,Female,Chicago,85647,15,50.82,762.3,Books,Online,10,2,3.4,5.3
CUST00059,38,Male,San Antonio,52577,9,48.39,435.51,Electronics,Online,7,0,3.7,4.1
CUST00060,28,Male,San Antonio,36321,17,11.57,196.69,Sports,Mobile App,86,0,4.3,4.9
CUST00061,42,Female,Phoenix,46784,16,40.17,642.72,Books,In-Store,25,3,3.4,5.3
CUST00062,30,Female,Dallas,67092,10,21.34,213.4,Toys,Online,4,1,3.8,4.2
CUST00063,24,Male,New York,56798,12,60.1,721.2,Health,In-Store,4,0,3.8,4.8
CUST00064,30,Male,Philadelphia,74468,14,40.19,562.66,Electronics,Online,13,4,4.6,5.0
CUST00065,40,Male,Dallas,51491,8,93.84,750.72,Groceries,Online,84,0,4.8,3.6
CUST00066,30,Female,Chicago,67750,8,97.56,780.48,Clothing,In-Store,33,0,4.5,3.9
CUST00067,34,Female,Houston,82552,16,41.53,664.48,Books,Online,8,2,2.6,5.5
CUST00068,35,Female,Houston,77088,12,35.9,430.8,Health,In-Store,85,1,4.0,4.2
CUST00069,42,Female,San Antonio,39010,13,75.74,984.62,Health,In-Store,4,1,4.0,5.1
CUST00070,56,Male,Phoenix,61152,17,164.17,2790.89,Home & Garden,In-Store,3,2,3.5,6.6
CUST00071,54,Male,Phoenix,85368,12,31.79,381.48,Books,Online,72,1,3.6,4.2
CUST00072,45,Female,San Diego,47544,8,369.45,2955.6,Beauty,Mobile App,1,3,3.3,5.1
CUST00073,40,Female,New York,62515,8,26.08,208.64,Toys,In-Store,60,3,4.2,3.5
CUST00074,38,Female,Los Angeles,89483,13,59.7,776.1,Clothing,In-Store,45,0,3.8,4.7
CUST00075,25,Female,Chicago,20000,12,27.03,324.36,Beauty,Mobile App,40,1,3.2,4.4
CUST00076,24,Female,Philadelphia,45162,8,117.11,936.88,Sports,Online,20,1,3.7,4.1
CUST00077,34,Female,Phoenix,26673,12,67.34,808.08,Health,Mobile App,7,1,3.8,4.8
CUST00078,68,Female,Dallas,26664,11,15.57,171.27,Electronics,In-Store,27,0,3.4,4.2
CUST00079,41,Female,Los Angeles,42610,19,119.49,2270.31,Groceries,Online,10,0,3.3,6.7
CUST00080,43,Female,Dallas,32049,14,40.73,570.22,Groceries,Online,29,0,3.6,4.9
CUST00081,39,Female,Philadelphia,45629,8,52.17,417.36,Home & Garden,In-Store,12,3,3.1,3.9
CUST00082,25,Female,Dallas,68786,10,83.79,837.9,Toys,Online,19,2,3.0,4.4
CUST00083,29,Female,New York,22591,13,27.21,353.73,Clothing,In-Store,22,1,4.7,4.7
CUST00084,49,Female,New York,48193,15,301.47,4522.05,Electronics,Online,7,0,4.3,6.9
CUST00085,22,Male,Phoenix,51815,9,21.31,191.79,Groceries,In-Store,32,2,3.8,3.9
CUST00086,57,Female,San Antonio,116281,14,59.7,835.8,Automotive,Online,12,1,4.3,5.2
CUST00087,44,Male,Chicago,32887,6,43.46,260.76,Automotive,Online,20,0,3.3,3.4
CUST00088,26,Male,Dallas,87509,13,94.19,1224.47,Groceries,Online,37,1,3.9,5.0
CUST00089,45,Male,Philadelphia,21257,13,52.12,677.56,Electronics,Mobile App,2,3,3.7,5.0
CUST00090,46,Male,Houston,35977,15,103.06,1545.9,Clothing,Online,10,0,3.2,5.6
CUST00091,37,Female,San Antonio,68966,8,87.02,696.16,Health,In-Store,74,3,3.6,3.6
CUST00092,19,Female,Houston,47484,18,118.27,2128.86,Groceries,Mobile App,1,5,3.5,6.5
CUST00093,38,Female,San Antonio,49829,10,71.33,713.3,Electronics,Online,9,0,3.8,4.4
CUST00094,40,Female,San Antonio,37672,10,58.51,585.1,Home & Garden,Online,28,1,3.6,4.2
CUST00095,48,Female,Los Angeles,57277,13,109.88,1428.44,Books,Mobile App,45,3,3.6,5.0
CUST00096,65,Female,Houston,40152,15,201.48,3022.2,Home & Garden,Mobile App,6,0,3.7,6.3
CUST00097,21,Male,Phoenix,29576,10,65.09,650.9,Home & Garden,Online,17,1,3.9,4.3
CUST00098,36,Female,San Antonio,31130,12,150.95,1811.4,Beauty,Online,21,0,4.8,5.2
CUST00099,31,Male,Phoenix,35263,10,51.35,513.5,Beauty,In-Store,51,1,3.2,4.1
CUST00100,31,Male,Dallas,69432,9,197.01,1773.09,Beauty,Mobile App,3,1,4.7,4.7
CUST00101,44,Male,Phoenix,88963,12,19.61,235.32,Groceries,In-Store,9,2,3.0,4.6
CUST00102,46,Non-binary,New York,27352,12,155.08,1860.96,Clothing,In-Store,13,2,3.8,5.2
CUST00103,40,Male,Philadelphia,57991,16,94.79,1516.64,Books,In-Store,26,2,4.2,5.7
CUST00104,33,Female,San Antonio,30993,15,89.37,1340.55,Health,Online,17,0,4.2,5.5
CUST00105,47,Male,San Antonio,21608,9,189.92,1709.28,Electronics,In-Store,4,3,3.4,4.7
CUST00106,45,Female,Houston,54319,14,141.39,1979.46,Beauty,Online,1,2,3.2,5.7
CUST00107,31,Female,Philadelphia,60322,15,199.51,2992.65,Health,Online,27,1,3.8,6.2
CUST00108,23,Female,Phoenix,44455,15,146.25,2193.75,Automotive,Online,7,1,4.5,5.9
CUST00109,45,Male,San Antonio,46418,11,22.92,252.12,Sports,In-Store,137,2,3.3,3.6
CUST00110,22,Male,San Antonio,108452,16,84.77,1356.32,Groceries,In-Store,33,3,3.9,5.6
CUST00111,52,Male,Dallas,64233,12,86.7,1040.4,Electronics,Online,17,0,3.6,4.9
CUST00112,29,Male,San Jose,48637,13,42.77,556.01,Health,In-Store,17,0,4.5,4.8
CUST00113,35,Male,San Diego,33574,12,136.52,1638.24,Home & Garden,In-Store,59,1,3.3,4.8
CUST00114,26,Female,Chicago,47751,8,191.02,1528.16,Clothing,Online,37,0,4.4,4.2
CUST00115,40,Female,San Jose,20000,6,33.08,198.48,Beauty,Online,50,2,3.2,3.2
CUST00116,54,Female,Houston,81515,14,139.03,1946.42,Sports,Online,2,3,3.3,5.7
CUST00117,42,Male,New York,162816,14,32.39,453.46,Electronics,Online,40,2,3.4,4.8
CUST00118,26,Male,Los Angeles,74185,14,46.92,656.88,Toys,Online,1,1,4.0,5.1
CUST00119,42,Female,Houston,69979,15,28.27,424.05,Books,Online,106,0,3.3,4.6
CUST00120,40,Male,New York,87195,11,141.89,1560.79,Clothing,In-Store,76,1,3.8,4.5
CUST00121,47,Male,Dallas,54100,9,174.82,1573.38,Toys,Online,5,2,3.9,4.6
CUST00122,41,Male,Los Angeles,41759,12,59.76,717.12,Toys,Online,21,1,4.4,4.7
CUST00123,33,Male,Dallas,26480,22,26.94,592.68,Automotive,In-Store,24,2,4.4,6.4
CUST00124,38,Female,San Diego,24205,10,22.43,224.3,Health,Mobile App,35,1,3.6,4.0
CUST00125,48,Female,San Antonio,96026,12,85.96,1031.52,Automotive,Online,61,0,4.6,4.6
CUST00126,34,Male,San Diego,36205,5,60.85,304.25,Toys,Online,198,0,3.5,2.2
CUST00127,30,Male,Phoenix,49271,21,73.52,1543.92,Automotive,Online,35,3,3.9,6.5
CUST00128,51,Male,San Diego,27668,9,43.09,387.81,Clothing,In-Store,82,0,5.0,3.6
CUST00129,48,Male,Philadelphia,64384,19,358.67,6814.73,Beauty,Mobile App,39,1,3.9,8.4
CUST00130,40,Male,Chicago,62760,14,31.1,435.4,Home & Garden,Online,27,0,4.8,4.9
CUST00131,50,Male,Houston,42667,15,99.0,1485.0,Clothing,Online,12,3,3.8,5.6
CUST00132,34,Male,San Diego,104468,16,59.08,945.28,Books,Online,8,1,3.9,5.6
CUST00133,27,Female,San Antonio,115140,11,26.97,296.67,Health,Mobile App,2,2,3.3,4.5
CUST00134,18,Male,San Jose,33669,16,48.52,776.32,Books,Online,9,2,3.7,5.5
CUST00135,65,Female,Phoenix,73045,17,58.43,993.31,Books,Mobile App,2,1,4.2,5.8
CUST00136,26,Female,San Antonio,26716,15,126.83,1902.45,Automotive,In-Store,30,1,3.1,5.7
CUST00137,36,Female,San Jose,44910,14,242.9,3400.6,Home & Garden,Online,2,1,4.0,6.3
CUST00138,37,Male,San Diego,66427,15,72.8,1092.0,Electronics,Online,73,3,3.4,5.1
CUST00139,43,Female,San Antonio,24028,11,55.0,605.0,Groceries,Mobile App,8,1,4.2,4.6
CUST00140,34,Female,San Jose,97368,14,37.16,520.24,Automotive,Online,23,0,5.0,4.9
CUST00141,45,Male,San Jose,61549,9,68.76,618.84,Electronics,Online,37,1,3.7,4.0
CUST00142,55,Male,San Diego,20000,11,132.09,1452.99,Groceries,Online,157,0,4.6,4.0
CUST00143,41,Male,Houston,36542,13,30.86,401.18,Toys,Online,12,0,3.6,4.8
CUST00144,28,Female,San Antonio,49931,15,137.24,2058.6,Sports,In-Store,25,2,3.8,5.8
CUST00145,46,Female,Phoenix,142999,14,71.34,998.76,Clothing,Online,82,0,3.7,4.8
CUST00146,26,Female,New York,69298,12,202.03,2424.36,Beauty,Online,12,3,3.3,5.5
CUST00147,24,Male,New York,41191,12,338.16,4057.92,Electronics,Mobile App,2,1,4.0,6.2
CUST00148,44,Male,New York,67529,14,31.52,441.28,Health,Online,11,0,3.6,5.0
CUST00149,39,Male,Los Angeles,72362,10,301.58,3015.8,Health,Mobile App,26,4,2.6,5.3
CUST00150,32,Male,Phoenix,93103,15,46.76,701.4,Beauty,Online,12,1,3.7,5.3
CUST00151,38,Female,Los Angeles,48775,13,65.53,851.89,Groceries,Mobile App,26,1,4.3,4.9
CUST00152,18,Male,New York,50775,8,95.15,761.2,Sports,In-Store,25,0,4.0,4.0
CUST00153,18,Female,San Antonio,57601,7,97.33,681.31,Books,Mobile App,54,0,3.4,3.6
CUST00154,29,Male,San Jose,47360,9,51.57,464.13,Home & Garden,Online,4,1,3.4,4.2
CUST00155,39,Female,San Jose,49102,16,129.63,2074.08,Clothing,In-Store,17,1,3.1,6.0
CUST00156,36,Female,New York,84470,8,155.32,1242.56,Beauty,In-Store,60,1,3.6,4.0
CUST00157,31,Female,Los Angeles,20000,15,23.68,355.2,Automotive,In-Store,1,4,3.6,5.2
CUST00158,39,Male,San Antonio,28704,11,65.42,719.62,Toys,Online,5,1,3.4,4.6
CUST00159,18,Female,San Diego,38379,11,81.4,895.4,Groceries,Online,103,1,3.9,4.1
CUST00160,30,Female,Phoenix,133827,12,112.11,1345.32,Health,Mobile App,30,1,4.0,4.9
CUST00161,23,Female,San Diego,50740,15,56.81,852.15,Toys,Online,2,1,3.9,5.4
CUST00162,21,Female,Phoenix,28727,10,32.05,320.5,Beauty,Mobile App,6,0,4.3,4.3
CUST00163,52,Female,Los Angeles,72796,9,133.92,1205.28,Sports,Mobile App,39,1,3.4,4.3
CUST00164,41,Male,San Diego,29463,15,44.33,664.95,Health,In-Store,84,3,3.6,4.8
CUST00165,56,Male,New York,64816,7,32.09,224.63,Toys,Mobile App,30,2,2.4,3.5
CUST00166,35,Male,Houston,42097,17,121.79,2070.43,Beauty,In-Store,42,4,3.2,6.0
CUST00167,43,Male,San Jose,73436,15,75.7,1135.5,Sports,In-Store,101,1,3.2,4.9
CUST00168,36,Female,Houston,46758,14,68.12,953.68,Clothing,Online,47,3,2.8,5.0
CUST00169,44,Male,Dallas,20000,13,60.53,786.89,Home & Garden,In-Store,1,1,3.2,5.0
CUST00170,53,Female,San Diego,38849,9,110.38,993.42,Toys,In-Store,8,1,4.5,4.4
CUST00171,36,Male,Houston,49418,15,38.5,577.5,Books,In-Store,77,1,4.2,4.8
CUST00172,32,Male,San Jose,31219,11,100.72,1107.92,Beauty,Online,29,1,4.0,4.6
CUST00173,19,Female,San Antonio,98166,15,45.32,679.8,Automotive,Online,25,0,5.0,5.2
CUST00174,56,Female,Phoenix,147760,13,136.57,1775.41,Sports,Online,8,2,4.0,5.4
CUST00175,35,Male,Houston,38205,15,70.94,1064.1,Beauty,Online,14,0,4.7,5.4
CUST00176,29,Female,Chicago,20000,6,192.37,1154.22,Home & Garden,Online,365,2,3.6,1.7
CUST00177,52,Female,San Jose,67518,7,51.39,359.73,Automotive,In-Store,44,1,4.3,3.5
CUST00178,21,Non-binary,Houston,25694,16,17.69,283.04,Sports,Online,64,1,4.0,4.9
CUST00179,44,Male,New York,36571,11,65.41,719.51,Automotive,Online,19,2,4.5,4.5
CUST00180,26,Male,New York,57871,15,62.17,932.55,Automotive,Online,7,2,3.6,5.4
CUST00181,48,Female,San Diego,31516,11,65.7,722.7,Clothing,Mobile App,1,0,3.6,4.6
CUST00182,18,Female,San Diego,79715,10,69.89,698.9,Toys,Online,100,0,4.3,3.8
CUST00183,19,Male,New York,36644,9,81.9,737.1,Sports,Mobile App,25,2,2.9,4.1
CUST00184,29,Male,Los Angeles,31393,16,32.75,524.0,Books,Online,44,1,3.9,5.2
CUST00185,42,Female,New York,132763,6,27.48,164.88,Groceries,Online,177,2,3.3,2.4
CUST00186,59,Female,Phoenix,27752,12,177.34,2128.08,Clothing,Mobile App,18,0,4.0,5.3
CUST00187,30,Male,San Antonio,68279,9,150.41,1353.69,Health,In-Store,29,0,3.6,4.4
CUST00188,33,Female,Dallas,64943,15,63.9,958.5,Books,Online,58,2,3.4,5.1
CUST00189,50,Male,San Jose,64730,11,18.51,203.61,Books,Online,52,3,3.6,4.1
CUST00190,38,Female,San Jose,78356,8,42.5,340.0,Clothing,Mobile App,88,1,4.3,3.4
CUST00191,31,Male,Houston,36914,17,57.99,985.83,Sports,In-Store,20,0,3.4,5.7
CUST00192,40,Male,Chicago,55976,14,29.01,406.14,Automotive,Online,1,4,3.3,5.0
CUST00193,28,Male,San Diego,68053,12,53.92,647.04,Health,Online,52,1,2.9,4.5
CUST00194,53,Male,Phoenix,48408,10,120.11,1201.1,Sports,In-Store,3,0,4.3,4.7
CUST00195,33,Male,Houston,29515,11,156.34,1719.74,Sports,In-Store,14,3,4.2,5.0
CUST00196,42,Female,Houston,31744,10,50.33,503.3,Books,Online,66,0,4.3,4.0
